sample_id,causal_gene,causal_chrom,n_blocks,spikein
HG02490,RNU4ATAC,chr2,39,1
HG02493,LRP2,chr2,39,1
HG02650,RNU4ATAC,chr2,39,1
HG02655,IFT172,chr2,39,1
HG02658,LRP2,chr2,39,1
HG02660,FAM161A,chr2,39,1
HG02683,ZNF513,chr2,39,1
HG02686,TMEM237,chr2,39,1
HG02690,CNGA3,chr2,39,1
HG02692,NBAS,chr2,39,1
HG02699,IFT172,chr2,39,1
HG02734,ZNF513,chr2,39,1
HG02736,CNNM4,chr2,39,1
HG02786,NEUROD1,chr2,39,1
HG02788,TMEM237,chr2,39,1
HG02789,CNNM4,chr2,39,1
HG02791,CNNM4,chr2,39,1
HG03018,FAM161A,chr2,39,1
HG03230,TMEM237,chr2,39,1
HG03236,NPHP1,chr2,39,1
HG03490,CNNM4,chr2,39,1
HG03618,KCNJ13,chr2,39,1
HG03641,GPATCH11,chr2,39,1
HG03652,CNNM4,chr2,39,1
HG03660,CNNM4,chr2,39,1
HG03704,CNNM4,chr2,39,1
HG03767,RNU4ATAC,chr2,39,1
